iter	Passed	Remaining
0	51	10327
1	103	10254
2	144	9492
3	186	9116
4	222	8677
5	256	8284
6	290	8018
7	326	7846
8	361	7675
9	394	7486
10	426	7321
11	458	7189
12	494	7112
13	525	6984
14	556	6869
15	589	6783
16	620	6681
17	649	6569
18	683	6506
19	719	6478
20	758	6467
21	790	6395
22	822	6331
23	855	6274
24	891	6242
25	926	6199
26	956	6128
27	991	6087
28	1025	6046
29	1059	6004
30	1097	5982
31	1131	5941
32	1163	5890
33	1198	5849
34	1236	5828
35	1268	5777
36	1304	5748
37	1339	5709
38	1377	5685
39	1411	5644
40	1445	5603
41	1479	5564
42	1510	5516
43	1544	5474
44	1577	5435
45	1608	5386
46	1640	5341
47	1679	5317
48	1715	5285
49	1747	5243
50	1781	5204
51	1812	5158
52	1843	5112
53	1878	5078
54	1909	5033
55	1950	5014
56	1977	4960
57	2006	4912
58	2041	4879
59	2083	4861
60	2125	4843
61	2160	4809
62	2210	4807
63	2246	4772
64	2286	4748
65	2318	4706
66	2350	4666
67	2385	4631
68	2419	4593
69	2454	4558
70	2486	4516
71	2519	4479
72	2552	4441
73	2581	4395
74	2611	4353
75	2644	4314
76	2679	4280
77	2712	4242
78	2742	4200
79	2774	4161
80	2808	4126
81	2841	4089
82	2874	4052
83	2907	4015
84	2936	3973
85	2966	3931
86	2998	3894
87	3030	3857
88	3061	3818
89	3092	3780
90	3125	3743
91	3157	3706
92	3188	3668
93	3219	3630
94	3253	3595
95	3299	3574
96	3349	3556
97	3380	3518
98	3412	3481
99	3459	3459
100	3490	3421
101	3524	3385
102	3559	3352
103	3593	3317
104	3627	3282
105	3682	3265
106	3731	3243
107	3763	3205
108	3819	3188
109	3861	3159
110	3895	3123
111	3926	3085
112	3962	3051
113	3993	3012
114	4024	2974
115	4060	2940
116	4096	2905
117	4130	2870
118	4200	2859
119	4233	2822
120	4263	2783
121	4295	2746
122	4325	2707
123	4355	2669
124	4386	2632
125	4418	2594
126	4449	2557
127	4483	2521
128	4511	2483
129	4543	2446
130	4572	2408
131	4601	2370
132	4634	2334
133	4667	2299
134	4698	2262
135	4728	2225
136	4760	2189
137	4793	2153
138	4826	2117
139	4860	2083
140	4890	2046
141	4925	2011
142	4962	1978
143	5005	1946
144	5059	1918
145	5092	1883
146	5129	1849
147	5182	1820
148	5226	1788
149	5263	1754
150	5291	1717
151	5321	1680
152	5349	1643
153	5384	1608
154	5418	1573
155	5455	1538
156	5491	1504
157	5527	1469
158	5559	1433
159	5595	1398
160	5627	1363
161	5660	1327
162	5697	1293
163	5735	1259
164	5771	1224
165	5806	1189
166	5838	1153
167	5875	1119
168	5941	1089
169	5975	1054
170	6007	1018
171	6040	983
172	6073	947
173	6102	911
174	6136	876
175	6169	841
176	6217	807
177	6278	775
178	6310	740
179	6337	704
180	6368	668
181	6401	633
182	6431	597
183	6464	562
184	6502	527
185	6536	491
186	6571	456
187	6605	421
188	6640	386
189	6674	351
190	6708	316
191	6745	281
192	6781	245
193	6816	210
194	6854	175
195	6889	140
196	6922	105
197	6982	70
198	7015	35
199	7044	0
